timestamp_utc,platform,total_discovered,included,excluded,skipped,excluded_domains,skipped_domains,run_id
2026-07-17T23:30:51Z,HackerOne,590,236,354,0
2026-07-18T00:14:57Z,Intigriti,209,86,123,0
2026-07-18T00:25:08Z,YesWeHack,63,16,47,0
2026-07-18T02:05:07Z,Bugcrowd,240,209,31,0
2026-07-20T14:02:38Z,HackerOne,590,238,351,1
2026-07-20T14:22:04Z,Intigriti,209,69,124,16
2026-07-20T14:27:04Z,YesWeHack,63,10,46,7
2026-07-20T15:26:17Z,Bugcrowd,239,110,20,109
2026-07-22T13:33:53Z,HackerOne,591,240,351,0
2026-07-22T14:33:49Z,Intigriti,209,85,124,0
2026-07-22T14:40:06Z,YesWeHack,62,16,46,0
2026-07-22T16:42:11Z,Bugcrowd,239,213,26,0
2026-07-22T18:36:12Z,HackerOne,590,239,350,1
2026-07-22T18:38:45Z,Intigriti,210,86,124,0
2026-07-22T18:39:54Z,YesWeHack,62,16,46,0
2026-07-22T18:49:46Z,Bugcrowd,240,214,26,0
2026-07-23T08:18:24Z,HackerOne,590,240,350,0
2026-07-23T08:20:26Z,Intigriti,210,86,124,0
2026-07-23T08:21:32Z,YesWeHack,62,16,46,0
2026-07-23T08:25:51Z,Bugcrowd,240,214,26,0
2026-07-24T20:13:02Z,HackerOne,590,240,350,0
2026-07-24T20:15:19Z,Intigriti,211,86,125,0
2026-07-24T20:16:52Z,YesWeHack,62,16,46,0
2026-07-24T20:22:19Z,Bugcrowd,240,214,26,0
2026-07-26T18:44:38Z,YesWeHack,62,0,62,0,596,0
2026-07-26T18:55:10Z,Bugcrowd,240,10,230,0,1157,0
2026-07-26T19:16:42Z,HackerOne,590,4,586,0,14602,0
2026-07-26T19:18:25Z,Intigriti,211,44,167,0,285,0
2026-07-26T19:30:42Z,HackerOne,590,4,586,0,14599,0
2026-07-26T19:32:27Z,Intigriti,211,44,167,0,285,0
2026-07-26T19:44:37Z,YesWeHack,62,1,61,0,592,0
2026-07-26T19:54:48Z,Bugcrowd,240,10,230,0,1157,0
2026-07-28T17:10:43Z,HackerOne,591,5,586,0,37628,0,30379782487
2026-07-28T17:14:58Z,Intigriti,212,47,165,0,321,0,30379782487
2026-07-28T17:28:18Z,YesWeHack,63,1,62,0,589,0,30379782487
2026-07-28T17:35:40Z,Bugcrowd,241,10,213,18,895,0,30379782487
2026-07-29T08:15:16Z,HackerOne,591,5,586,0,37658,0,30431532751
2026-07-29T08:19:59Z,Intigriti,212,47,165,0,321,0,30431532751
2026-07-29T08:31:44Z,YesWeHack,63,1,62,0,589,0,30431532751
2026-07-29T10:46:58Z,Bugcrowd,241,9,214,18,910,0,30431532751
2026-08-02T06:16:19Z,HackerOne,591,109,482,0,36634,0,30722186332
2026-08-02T07:06:55Z,Intigriti,212,71,141,0,274,0,30722186332
2026-08-02T10:47:59Z,Bugcrowd,243,97,144,2,432,0,30722186332
2026-08-02T11:16:52Z,HackerOne,591,109,482,0,36634,0,30744569660
2026-08-02T11:18:38Z,Intigriti,212,70,142,0,274,0,30744569660
2026-08-02T12:38:19Z,YesWeHack,62,1,61,0,592,0,30744569660
2026-08-02T12:44:03Z,Bugcrowd,243,97,144,2,432,0,30744569660
2026-08-14T07:00:54Z,HackerOne,592,0,592,0,37847,0,31776542197
2026-08-14T07:03:45Z,Intigriti,214,0,214,0,890,0,31776542197
2026-08-14T07:12:12Z,YesWeHack,65,0,65,0,606,0,31776542197
2026-08-14T07:22:06Z,Bugcrowd,250,0,250,0,1028,0,31776542197
2026-08-14T08:32:58Z,Intigriti,215,74,141,0,311,0,31783726607
2026-08-14T08:34:33Z,YesWeHack,64,1,63,0,599,0,31783726607
2026-08-14T09:17:48Z,HackerOne,592,0,592,0,37847,0,31785343448
2026-08-14T09:19:36Z,Intigriti,215,0,215,0,898,0,31785343448
2026-08-14T09:21:07Z,YesWeHack,64,0,64,0,603,0,31785343448
2026-08-14T09:27:23Z,Bugcrowd,250,0,250,0,1028,0,31785343448
2026-08-14T11:56:52Z,HackerOne,592,0,592,0,37847,0,31796584172
2026-08-14T11:58:31Z,Intigriti,215,0,215,0,898,0,31796584172
2026-08-14T11:59:58Z,YesWeHack,64,0,64,0,603,0,31796584172
2026-08-14T12:03:54Z,Bugcrowd,250,0,250,0,1028,0,31796584172
2026-08-14T18:05:55Z,Intigriti,215,0,215,0,900,0,31826784659
2026-08-14T18:07:10Z,YesWeHack,64,0,64,0,603,0,31826784659
2026-08-14T18:12:41Z,Bugcrowd,250,0,250,0,1028,0,31826784659
2026-08-14T19:52:47Z,HackerOne,592,0,592,0,37848,0,31833337455
2026-08-14T19:54:50Z,Intigriti,215,0,215,0,900,0,31833337455
2026-08-14T19:56:14Z,YesWeHack,64,0,64,0,603,0,31833337455
2026-08-14T20:01:26Z,Bugcrowd,250,0,250,0,1028,0,31833337455
2026-08-15T07:57:35Z,HackerOne,592,7,585,0,37817,0,31870463988
2026-08-15T08:16:07Z,Intigriti,215,1,214,0,893,0,31870463988
2026-08-15T08:17:36Z,YesWeHack,64,0,64,0,603,0,31870463988
2026-08-15T09:27:39Z,HackerOne,592,7,585,0,37817,0,31875389150
2026-08-15T09:29:25Z,Intigriti,215,1,214,0,893,0,31875389150
2026-08-15T09:30:55Z,YesWeHack,64,0,64,0,603,0,31875389150
2026-08-15T10:10:24Z,Bugcrowd,250,5,245,0,1000,0,31875389150
2026-08-17T20:40:39Z,HackerOne,592,7,585,0,37820,0,32064947857
2026-08-17T20:43:05Z,Intigriti,215,1,214,0,945,0,32064947857
2026-08-17T20:44:18Z,YesWeHack,63,0,63,0,604,0,32064947857
2026-08-17T20:50:26Z,Bugcrowd,250,5,245,0,993,0,32064947857
2026-08-18T20:55:35Z,HackerOne,592,7,585,0,37823,0,32182459951
2026-08-18T20:57:58Z,Intigriti,215,1,214,0,948,0,32182459951
2026-08-18T20:59:26Z,YesWeHack,63,0,63,0,602,0,32182459951
